"Date","Price (Open)"
"2019-08-01","10121.384337772437"
"2019-07-31","9587.121618241927"
"2019-07-30","9491.322653211939"
"2019-07-29","9531.801983988713"
"2019-07-28","9474.046996205734"
"2019-07-27","9833.000141264476"
"2019-07-26","9875.263789179655"
"2019-07-25","9768.053658410485"
"2019-07-24","9856.544627829076"
"2019-07-23","10325.934753456866"
"2019-07-22","10585.806687363181"
"2019-07-21","10756.064069440561"
"2019-07-20","10522.43219928289"
"2019-07-19","10640.215145747736"
"2019-07-18","9673.642261112316"
"2019-07-17","9401.854749321115"
"2019-07-16","10866.965794497"
"2019-07-15","10196.707864662503"
"2019-07-14","11386.355427998018"
"2019-07-13","11793.707467913155"
"2019-07-12","11351.097670413068"
"2019-07-11","12090.407463757383"
"2019-07-10","12577.024903268617"
"2019-07-09","12304.500174890187"
"2019-07-08","11468.381733642624"
"2019-07-07","11254.297207118012"
"2019-07-06","10961.057434044806"
"2019-07-05","11145.860026897139"
"2019-07-04","11969.549058205506"
"2019-07-03","10807.807034948813"
"2019-07-02","10590.415855999281"
"2019-07-01","10768.158459645481"
"2019-06-30","11844.40076927059"
"2019-06-29","12347.099941595077"
"2019-06-28","11112.878080055487"
"2019-06-27","12897.88873040019"
"2019-06-26","11757.797381631657"
"2019-06-25","11031.007552203937"
"2019-06-24","10850.55408510267"
"2019-06-23","10689.58441775252"
"2019-06-22","10223.144767825675"
"2019-06-21","9549.487664480239"
"2019-06-20","9278.858336846475"
"2019-06-19","9119.3662802183"
"2019-06-18","9333.86518257477"
"2019-06-17","8978.648827707357"
"2019-06-16","8846.450700286538"
"2019-06-15","8703.248839547765"
"2019-06-14","8233.072553078639"
"2019-06-13","8160.492265198658"
"2019-06-12","7916.10403860688"
"2019-06-11","8019.493937407198"
"2019-06-10","7647.206733438354"
"2019-06-09","7924.420438269671"
"2019-06-08","8008.564874977423"
"2019-06-07","7803.702391227772"
"2019-06-06","7786.4356189471455"
"2019-06-05","7677.060354875949"
"2019-06-04","8125.239534447994"
"2019-06-03","8738.064733872485"
"2019-06-02","8551.471943450992"
"2019-06-01","8558.368501441264"
"2019-05-31","8278.35111553653"
"2019-05-30","8668.903026481348"
"2019-05-29","8725.15381797179"
